position,name,type,varlab
49,aQuint3Fx_1,float,Attain grade 1:Ages 15-19:Quintile 3 Female
50,aQuint4Fx_1,float,Attain grade 1:Ages 15-19:Quintile 4 Female
51,aQuint5Fx_1,float,Attain grade 1:Ages 15-19:Richest quintile Female
52,aQuint12x_1,float,Attain grade 1:Ages 15-19:Quintiles 1&2
53,aQuint34x_1,float,Attain grade 1:Ages 15-19:Quintiles 3&4
54,aQuint12Mx_1,float,Attain grade 1:Ages 15-19:Quintiles 1&2 Male
55,aQuint34Mx_1,float,Attain grade 1:Ages 15-19:Quintiles 3&4 Male
56,aQuint12Fx_1,float,Attain grade 1:Ages 15-19:Quintiles 1&2 Female
57,aQuint34Fx_1,float,Attain grade 1:Ages 15-19:Quintiles 3&4 Female
58,aQuint12U_1,float,Attain grade 1: Ages 15-19: Quintiles 1&2 Urban
59,aQuint34U_1,float,Attain grade 1: Ages 15-19: Quintiles 3&4 Urban
60,aQuint12R_1,float,Attain grade 1: Ages 15-19: Quintiles 1&2 Rural
61,aQuint34R_1,float,Attain grade 1: Ages 15-19: Quintiles 3&4 Rural
62,aQuint12Ux_1,float,Attain grade 1: Ages 15-19: Quintiles 1&2 Urban
63,aQuint34Ux_1,float,Attain grade 1: Ages 15-19: Quintiles 3&4 Urban
64,aQuint12Rx_1,float,Attain grade 1: Ages 15-19: Quintiles 1&2 Rural
65,aQuint34Rx_1,float,Attain grade 1: Ages 15-19: Quintiles 3&4 Rural
66,aQuint1U_1,float,Attain grade 1: Ages 15-19: Quintile 1 Urban
67,aQuint2U_1,float,Attain grade 1: Ages 15-19: Quintile 2 Urban
68,aQuint3U_1,float,Attain grade 1: Ages 15-19: Quintile 3 Urban
69,aQuint4U_1,float,Attain grade 1: Ages 15-19: Quintile 4 Urban
70,aQuint5U_1,float,Attain grade 1: Ages 15-19: Quintile 5 Urban
71,aQuint1R_1,float,Attain grade 1: Ages 15-19: Quintile 1 Rural
72,aQuint2R_1,float,Attain grade 1: Ages 15-19: Quintile 2 Rural
73,aQuint3R_1,float,Attain grade 1: Ages 15-19: Quintile 3 Rural
74,aQuint4R_1,float,Attain grade 1: Ages 15-19: Quintile 4 Rural
75,aQuint5R_1,float,Attain grade 1: Ages 15-19: Quintile 5 Rural
76,aQuint1Ux_1,float,Attain grade 1: Ages 15-19: Quintile 1 Urban
77,aQuint2Ux_1,float,Attain grade 1: Ages 15-19: Quintile 2 Urban
78,aQuint3Ux_1,float,Attain grade 1: Ages 15-19: Quintile 3 Urban
79,aQuint4Ux_1,float,Attain grade 1: Ages 15-19: Quintile 4 Urban
80,aQuint5Ux_1,float,Attain grade 1: Ages 15-19: Quintile 5 Urban
81,aQuint1Rx_1,float,Attain grade 1: Ages 15-19: Quintile 1 Rural
82,aQuint2Rx_1,float,Attain grade 1: Ages 15-19: Quintile 2 Rural
83,aQuint3Rx_1,float,Attain grade 1: Ages 15-19: Quintile 3 Rural
84,aQuint4Rx_1,float,Attain grade 1: Ages 15-19: Quintile 4 Rural
85,aQuint5Rx_1,float,Attain grade 1: Ages 15-19: Quintile 5 Rural
86,aAll_2,float,Attain grade 2:Ages 15-19:All
87,aUrban_2,float,Attain grade 2:Ages 15-19:Urban
88,aRural_2,float,Attain grade 2:Ages 15-19:Rural
89,aMale_2,float,Attain grade 2:Ages 15-19:Male
90,aFemale_2,float,Attain grade 2:Ages 15-19:Female
91,aMalUrb_2,float,Attain grade 2:Ages 15-19:Male Urban
92,aMalRur_2,float,Attain grade 2:Ages 15-19:Male Rural
93,aFemUrb_2,float,Attain grade 2:Ages 15-19:Female Urban
94,aFemRur_2,float,Attain grade 2:Ages 15-19:Female Rural
95,aQuint1_2,float,Attain grade 2:Ages 15-19:Poorest quintile
96,aQuint2_2,float,Attain grade 2:Ages 15-19:Quintile 2
97,aQuint3_2,float,Attain grade 2:Ages 15-19:Quintile 3
98,aQuint4_2,float,Attain grade 2:Ages 15-19:Quintile 4
99,aQuint5_2,float,Attain grade 2:Ages 15-19:Richest quintile
100,aQuint1M_2,float,Attain grade 2:Ages 15-19:Poorest quintile Male
101,aQuint2M_2,float,Attain grade 2:Ages 15-19:Quintile 2 Male
102,aQuint3M_2,float,Attain grade 2:Ages 15-19:Quintile 3 Male
103,aQuint4M_2,float,Attain grade 2:Ages 15-19:Quintile 4 Male
104,aQuint5M_2,float,Attain grade 2:Ages 15-19:Richest quintile Male
105,aQuint1F_2,float,Attain grade 2:Ages 15-19:Poorest quintile Female
106,aQuint2F_2,float,Attain grade 2:Ages 15-19:Quintile 2 Female
107,aQuint3F_2,float,Attain grade 2:Ages 15-19:Quintile 3 Female
108,aQuint4F_2,float,Attain grade 2:Ages 15-19:Quintile 4 Female
109,aQuint5F_2,float,Attain grade 2:Ages 15-19:Richest quintile Female
110,aQuint12_2,float,Attain grade 2:Ages 15-19:Quintiles 1&2
111,aQuint34_2,float,Attain grade 2:Ages 15-19:Quintiles 3&4
112,aQuint12M_2,float,Attain grade 2:Ages 15-19:Quintiles 1&2 Male
113,aQuint34M_2,float,Attain grade 2:Ages 15-19:Quintiles 3&4 Male
114,aQuint12F_2,float,Attain grade 2:Ages 15-19:Quintiles 1&2 Female
115,aQuint34F_2,float,Attain grade 2:Ages 15-19:Quintiles 3&4 Female
116,aQuint1x_2,float,Attain grade 2:Ages 15-19:Poorest quintile
117,aQuint2x_2,float,Attain grade 2:Ages 15-19:Quintile 2
118,aQuint3x_2,float,Attain grade 2:Ages 15-19:Quintile 3
119,aQuint4x_2,float,Attain grade 2:Ages 15-19:Quintile 4
120,aQuint5x_2,float,Attain grade 2:Ages 15-19:Richest quintile
121,aQuint1Mx_2,float,Attain grade 2:Ages 15-19:Poorest quintile Male
122,aQuint2Mx_2,float,Attain grade 2:Ages 15-19:Quintile 2 Male
123,aQuint3Mx_2,float,Attain grade 2:Ages 15-19:Quintile 3 Male
124,aQuint4Mx_2,float,Attain grade 2:Ages 15-19:Quintile 4 Male
125,aQuint5Mx_2,float,Attain grade 2:Ages 15-19:Richest quintile Male
126,aQuint1Fx_2,float,Attain grade 2:Ages 15-19:Poorest quintile Female
127,aQuint2Fx_2,float,Attain grade 2:Ages 15-19:Quintile 2 Female
128,aQuint3Fx_2,float,Attain grade 2:Ages 15-19:Quintile 3 Female
129,aQuint4Fx_2,float,Attain grade 2:Ages 15-19:Quintile 4 Female
130,aQuint5Fx_2,float,Attain grade 2:Ages 15-19:Richest quintile Female
131,aQuint12x_2,float,Attain grade 2:Ages 15-19:Quintiles 1&2
132,aQuint34x_2,float,Attain grade 2:Ages 15-19:Quintiles 3&4
133,aQuint12Mx_2,float,Attain grade 2:Ages 15-19:Quintiles 1&2 Male
134,aQuint34Mx_2,float,Attain grade 2:Ages 15-19:Quintiles 3&4 Male
135,aQuint12Fx_2,float,Attain grade 2:Ages 15-19:Quintiles 1&2 Female
136,aQuint34Fx_2,float,Attain grade 2:Ages 15-19:Quintiles 3&4 Female
137,aQuint12U_2,float,Attain grade 2: Ages 15-19: Quintiles 1&2 Urban
138,aQuint34U_2,float,Attain grade 2: Ages 15-19: Quintiles 3&4 Urban
139,aQuint12R_2,float,Attain grade 2: Ages 15-19: Quintiles 1&2 Rural
140,aQuint34R_2,float,Attain grade 2: Ages 15-19: Quintiles 3&4 Rural
141,aQuint12Ux_2,float,Attain grade 2: Ages 15-19: Quintiles 1&2 Urban
142,aQuint34Ux_2,float,Attain grade 2: Ages 15-19: Quintiles 3&4 Urban
143,aQuint12Rx_2,float,Attain grade 2: Ages 15-19: Quintiles 1&2 Rural
144,aQuint34Rx_2,float,Attain grade 2: Ages 15-19: Quintiles 3&4 Rural
145,aQuint1U_2,float,Attain grade 2: Ages 15-19: Quintile 1 Urban
146,aQuint2U_2,float,Attain grade 2: Ages 15-19: Quintile 2 Urban
147,aQuint3U_2,float,Attain grade 2: Ages 15-19: Quintile 3 Urban
148,aQuint4U_2,float,Attain grade 2: Ages 15-19: Quintile 4 Urban
149,aQuint5U_2,float,Attain grade 2: Ages 15-19: Quintile 5 Urban
150,aQuint1R_2,float,Attain grade 2: Ages 15-19: Quintile 1 Rural
151,aQuint2R_2,float,Attain grade 2: Ages 15-19: Quintile 2 Rural
152,aQuint3R_2,float,Attain grade 2: Ages 15-19: Quintile 3 Rural
153,aQuint4R_2,float,Attain grade 2: Ages 15-19: Quintile 4 Rural
154,aQuint5R_2,float,Attain grade 2: Ages 15-19: Quintile 5 Rural
155,aQuint1Ux_2,float,Attain grade 2: Ages 15-19: Quintile 1 Urban
156,aQuint2Ux_2,float,Attain grade 2: Ages 15-19: Quintile 2 Urban
157,aQuint3Ux_2,float,Attain grade 2: Ages 15-19: Quintile 3 Urban
158,aQuint4Ux_2,float,Attain grade 2: Ages 15-19: Quintile 4 Urban
159,aQuint5Ux_2,float,Attain grade 2: Ages 15-19: Quintile 5 Urban
160,aQuint1Rx_2,float,Attain grade 2: Ages 15-19: Quintile 1 Rural
161,aQuint2Rx_2,float,Attain grade 2: Ages 15-19: Quintile 2 Rural
162,aQuint3Rx_2,float,Attain grade 2: Ages 15-19: Quintile 3 Rural
163,aQuint4Rx_2,float,Attain grade 2: Ages 15-19: Quintile 4 Rural
164,aQuint5Rx_2,float,Attain grade 2: Ages 15-19: Quintile 5 Rural
165,aAll_3,float,Attain grade 3:Ages 15-19:All
166,aUrban_3,float,Attain grade 3:Ages 15-19:Urban
167,aRural_3,float,Attain grade 3:Ages 15-19:Rural
168,aMale_3,float,Attain grade 3:Ages 15-19:Male
169,aFemale_3,float,Attain grade 3:Ages 15-19:Female
170,aMalUrb_3,float,Attain grade 3:Ages 15-19:Male Urban
171,aMalRur_3,float,Attain grade 3:Ages 15-19:Male Rural
172,aFemUrb_3,float,Attain grade 3:Ages 15-19:Female Urban
173,aFemRur_3,float,Attain grade 3:Ages 15-19:Female Rural
174,aQuint1_3,float,Attain grade 3:Ages 15-19:Poorest quintile
175,aQuint2_3,float,Attain grade 3:Ages 15-19:Quintile 2
176,aQuint3_3,float,Attain grade 3:Ages 15-19:Quintile 3
177,aQuint4_3,float,Attain grade 3:Ages 15-19:Quintile 4
178,aQuint5_3,float,Attain grade 3:Ages 15-19:Richest quintile
179,aQuint1M_3,float,Attain grade 3:Ages 15-19:Poorest quintile Male
180,aQuint2M_3,float,Attain grade 3:Ages 15-19:Quintile 2 Male
181,aQuint3M_3,float,Attain grade 3:Ages 15-19:Quintile 3 Male
182,aQuint4M_3,float,Attain grade 3:Ages 15-19:Quintile 4 Male
183,aQuint5M_3,float,Attain grade 3:Ages 15-19:Richest quintile Male
184,aQuint1F_3,float,Attain grade 3:Ages 15-19:Poorest quintile Female
185,aQuint2F_3,float,Attain grade 3:Ages 15-19:Quintile 2 Female
186,aQuint3F_3,float,Attain grade 3:Ages 15-19:Quintile 3 Female
187,aQuint4F_3,float,Attain grade 3:Ages 15-19:Quintile 4 Female
188,aQuint5F_3,float,Attain grade 3:Ages 15-19:Richest quintile Female
189,aQuint12_3,float,Attain grade 3:Ages 15-19:Quintiles 1&2
190,aQuint34_3,float,Attain grade 3:Ages 15-19:Quintiles 3&4
191,aQuint12M_3,float,Attain grade 3:Ages 15-19:Quintiles 1&2 Male
192,aQuint34M_3,float,Attain grade 3:Ages 15-19:Quintiles 3&4 Male
193,aQuint12F_3,float,Attain grade 3:Ages 15-19:Quintiles 1&2 Female
194,aQuint34F_3,float,Attain grade 3:Ages 15-19:Quintiles 3&4 Female
195,aQuint1x_3,float,Attain grade 3:Ages 15-19:Poorest quintile
196,aQuint2x_3,float,Attain grade 3:Ages 15-19:Quintile 2
197,aQuint3x_3,float,Attain grade 3:Ages 15-19:Quintile 3
198,aQuint4x_3,float,Attain grade 3:Ages 15-19:Quintile 4
199,aQuint5x_3,float,Attain grade 3:Ages 15-19:Richest quintile
200,aQuint1Mx_3,float,Attain grade 3:Ages 15-19:Poorest quintile Male
201,aQuint2Mx_3,float,Attain grade 3:Ages 15-19:Quintile 2 Male
202,aQuint3Mx_3,float,Attain grade 3:Ages 15-19:Quintile 3 Male
203,aQuint4Mx_3,float,Attain grade 3:Ages 15-19:Quintile 4 Male
204,aQuint5Mx_3,float,Attain grade 3:Ages 15-19:Richest quintile Male
205,aQuint1Fx_3,float,Attain grade 3:Ages 15-19:Poorest quintile Female
206,aQuint2Fx_3,float,Attain grade 3:Ages 15-19:Quintile 2 Female
207,aQuint3Fx_3,float,Attain grade 3:Ages 15-19:Quintile 3 Female
208,aQuint4Fx_3,float,Attain grade 3:Ages 15-19:Quintile 4 Female
209,aQuint5Fx_3,float,Attain grade 3:Ages 15-19:Richest quintile Female
210,aQuint12x_3,float,Attain grade 3:Ages 15-19:Quintiles 1&2
211,aQuint34x_3,float,Attain grade 3:Ages 15-19:Quintiles 3&4
212,aQuint12Mx_3,float,Attain grade 3:Ages 15-19:Quintiles 1&2 Male
213,aQuint34Mx_3,float,Attain grade 3:Ages 15-19:Quintiles 3&4 Male
214,aQuint12Fx_3,float,Attain grade 3:Ages 15-19:Quintiles 1&2 Female
215,aQuint34Fx_3,float,Attain grade 3:Ages 15-19:Quintiles 3&4 Female
216,aQuint12U_3,float,Attain grade 3: Ages 15-19: Quintiles 1&2 Urban
217,aQuint34U_3,float,Attain grade 3: Ages 15-19: Quintiles 3&4 Urban
218,aQuint12R_3,float,Attain grade 3: Ages 15-19: Quintiles 1&2 Rural
219,aQuint34R_3,float,Attain grade 3: Ages 15-19: Quintiles 3&4 Rural
220,aQuint12Ux_3,float,Attain grade 3: Ages 15-19: Quintiles 1&2 Urban
221,aQuint34Ux_3,float,Attain grade 3: Ages 15-19: Quintiles 3&4 Urban
222,aQuint12Rx_3,float,Attain grade 3: Ages 15-19: Quintiles 1&2 Rural
223,aQuint34Rx_3,float,Attain grade 3: Ages 15-19: Quintiles 3&4 Rural
224,aQuint1U_3,float,Attain grade 3: Ages 15-19: Quintile 1 Urban
225,aQuint2U_3,float,Attain grade 3: Ages 15-19: Quintile 2 Urban
226,aQuint3U_3,float,Attain grade 3: Ages 15-19: Quintile 3 Urban
227,aQuint4U_3,float,Attain grade 3: Ages 15-19: Quintile 4 Urban
228,aQuint5U_3,float,Attain grade 3: Ages 15-19: Quintile 5 Urban
229,aQuint1R_3,float,Attain grade 3: Ages 15-19: Quintile 1 Rural
230,aQuint2R_3,float,Attain grade 3: Ages 15-19: Quintile 2 Rural
231,aQuint3R_3,float,Attain grade 3: Ages 15-19: Quintile 3 Rural
232,aQuint4R_3,float,Attain grade 3: Ages 15-19: Quintile 4 Rural
233,aQuint5R_3,float,Attain grade 3: Ages 15-19: Quintile 5 Rural
234,aQuint1Ux_3,float,Attain grade 3: Ages 15-19: Quintile 1 Urban
235,aQuint2Ux_3,float,Attain grade 3: Ages 15-19: Quintile 2 Urban
236,aQuint3Ux_3,float,Attain grade 3: Ages 15-19: Quintile 3 Urban
237,aQuint4Ux_3,float,Attain grade 3: Ages 15-19: Quintile 4 Urban
238,aQuint5Ux_3,float,Attain grade 3: Ages 15-19: Quintile 5 Urban
239,aQuint1Rx_3,float,Attain grade 3: Ages 15-19: Quintile 1 Rural
240,aQuint2Rx_3,float,Attain grade 3: Ages 15-19: Quintile 2 Rural
241,aQuint3Rx_3,float,Attain grade 3: Ages 15-19: Quintile 3 Rural
242,aQuint4Rx_3,float,Attain grade 3: Ages 15-19: Quintile 4 Rural
243,aQuint5Rx_3,float,Attain grade 3: Ages 15-19: Quintile 5 Rural
244,aAll_4,float,Attain grade 4:Ages 15-19:All
245,aUrban_4,float,Attain grade 4:Ages 15-19:Urban
246,aRural_4,float,Attain grade 4:Ages 15-19:Rural
247,aMale_4,float,Attain grade 4:Ages 15-19:Male
248,aFemale_4,float,Attain grade 4:Ages 15-19:Female
249,aMalUrb_4,float,Attain grade 4:Ages 15-19:Male Urban
250,aMalRur_4,float,Attain grade 4:Ages 15-19:Male Rural
251,aFemUrb_4,float,Attain grade 4:Ages 15-19:Female Urban
252,aFemRur_4,float,Attain grade 4:Ages 15-19:Female Rural
253,aQuint1_4,float,Attain grade 4:Ages 15-19:Poorest quintile
254,aQuint2_4,float,Attain grade 4:Ages 15-19:Quintile 2
255,aQuint3_4,float,Attain grade 4:Ages 15-19:Quintile 3
256,aQuint4_4,float,Attain grade 4:Ages 15-19:Quintile 4
257,aQuint5_4,float,Attain grade 4:Ages 15-19:Richest quintile
258,aQuint1M_4,float,Attain grade 4:Ages 15-19:Poorest quintile Male
259,aQuint2M_4,float,Attain grade 4:Ages 15-19:Quintile 2 Male
260,aQuint3M_4,float,Attain grade 4:Ages 15-19:Quintile 3 Male
261,aQuint4M_4,float,Attain grade 4:Ages 15-19:Quintile 4 Male
262,aQuint5M_4,float,Attain grade 4:Ages 15-19:Richest quintile Male
263,aQuint1F_4,float,Attain grade 4:Ages 15-19:Poorest quintile Female
264,aQuint2F_4,float,Attain grade 4:Ages 15-19:Quintile 2 Female
265,aQuint3F_4,float,Attain grade 4:Ages 15-19:Quintile 3 Female
266,aQuint4F_4,float,Attain grade 4:Ages 15-19:Quintile 4 Female
267,aQuint5F_4,float,Attain grade 4:Ages 15-19:Richest quintile Female
268,aQuint12_4,float,Attain grade 4:Ages 15-19:Quintiles 1&2
269,aQuint34_4,float,Attain grade 4:Ages 15-19:Quintiles 3&4
270,aQuint12M_4,float,Attain grade 4:Ages 15-19:Quintiles 1&2 Male
271,aQuint34M_4,float,Attain grade 4:Ages 15-19:Quintiles 3&4 Male
272,aQuint12F_4,float,Attain grade 4:Ages 15-19:Quintiles 1&2 Female
273,aQuint34F_4,float,Attain grade 4:Ages 15-19:Quintiles 3&4 Female
274,aQuint1x_4,float,Attain grade 4:Ages 15-19:Poorest quintile
275,aQuint2x_4,float,Attain grade 4:Ages 15-19:Quintile 2
276,aQuint3x_4,float,Attain grade 4:Ages 15-19:Quintile 3
277,aQuint4x_4,float,Attain grade 4:Ages 15-19:Quintile 4
278,aQuint5x_4,float,Attain grade 4:Ages 15-19:Richest quintile
279,aQuint1Mx_4,float,Attain grade 4:Ages 15-19:Poorest quintile Male
280,aQuint2Mx_4,float,Attain grade 4:Ages 15-19:Quintile 2 Male
281,aQuint3Mx_4,float,Attain grade 4:Ages 15-19:Quintile 3 Male
282,aQuint4Mx_4,float,Attain grade 4:Ages 15-19:Quintile 4 Male
283,aQuint5Mx_4,float,Attain grade 4:Ages 15-19:Richest quintile Male
284,aQuint1Fx_4,float,Attain grade 4:Ages 15-19:Poorest quintile Female
285,aQuint2Fx_4,float,Attain grade 4:Ages 15-19:Quintile 2 Female
286,aQuint3Fx_4,float,Attain grade 4:Ages 15-19:Quintile 3 Female
287,aQuint4Fx_4,float,Attain grade 4:Ages 15-19:Quintile 4 Female
288,aQuint5Fx_4,float,Attain grade 4:Ages 15-19:Richest quintile Female
289,aQuint12x_4,float,Attain grade 4:Ages 15-19:Quintiles 1&2
290,aQuint34x_4,float,Attain grade 4:Ages 15-19:Quintiles 3&4
291,aQuint12Mx_4,float,Attain grade 4:Ages 15-19:Quintiles 1&2 Male
292,aQuint34Mx_4,float,Attain grade 4:Ages 15-19:Quintiles 3&4 Male
293,aQuint12Fx_4,float,Attain grade 4:Ages 15-19:Quintiles 1&2 Female
294,aQuint34Fx_4,float,Attain grade 4:Ages 15-19:Quintiles 3&4 Female
295,aQuint12U_4,float,Attain grade 4: Ages 15-19: Quintiles 1&2 Urban
296,aQuint34U_4,float,Attain grade 4: Ages 15-19: Quintiles 3&4 Urban
297,aQuint12R_4,float,Attain grade 4: Ages 15-19: Quintiles 1&2 Rural
298,aQuint34R_4,float,Attain grade 4: Ages 15-19: Quintiles 3&4 Rural
299,aQuint12Ux_4,float,Attain grade 4: Ages 15-19: Quintiles 1&2 Urban
300,aQuint34Ux_4,float,Attain grade 4: Ages 15-19: Quintiles 3&4 Urban
301,aQuint12Rx_4,float,Attain grade 4: Ages 15-19: Quintiles 1&2 Rural
302,aQuint34Rx_4,float,Attain grade 4: Ages 15-19: Quintiles 3&4 Rural
303,aQuint1U_4,float,Attain grade 4: Ages 15-19: Quintile 1 Urban
304,aQuint2U_4,float,Attain grade 4: Ages 15-19: Quintile 2 Urban
305,aQuint3U_4,float,Attain grade 4: Ages 15-19: Quintile 3 Urban
306,aQuint4U_4,float,Attain grade 4: Ages 15-19: Quintile 4 Urban
307,aQuint5U_4,float,Attain grade 4: Ages 15-19: Quintile 5 Urban
308,aQuint1R_4,float,Attain grade 4: Ages 15-19: Quintile 1 Rural
309,aQuint2R_4,float,Attain grade 4: Ages 15-19: Quintile 2 Rural
310,aQuint3R_4,float,Attain grade 4: Ages 15-19: Quintile 3 Rural
311,aQuint4R_4,float,Attain grade 4: Ages 15-19: Quintile 4 Rural
312,aQuint5R_4,float,Attain grade 4: Ages 15-19: Quintile 5 Rural
313,aQuint1Ux_4,float,Attain grade 4: Ages 15-19: Quintile 1 Urban
314,aQuint2Ux_4,float,Attain grade 4: Ages 15-19: Quintile 2 Urban
315,aQuint3Ux_4,float,Attain grade 4: Ages 15-19: Quintile 3 Urban
316,aQuint4Ux_4,float,Attain grade 4: Ages 15-19: Quintile 4 Urban
317,aQuint5Ux_4,float,Attain grade 4: Ages 15-19: Quintile 5 Urban
318,aQuint1Rx_4,float,Attain grade 4: Ages 15-19: Quintile 1 Rural
319,aQuint2Rx_4,float,Attain grade 4: Ages 15-19: Quintile 2 Rural
320,aQuint3Rx_4,float,Attain grade 4: Ages 15-19: Quintile 3 Rural
321,aQuint4Rx_4,float,Attain grade 4: Ages 15-19: Quintile 4 Rural
322,aQuint5Rx_4,float,Attain grade 4: Ages 15-19: Quintile 5 Rural
323,aAll_5,float,Attain grade 5:Ages 15-19:All
324,aUrban_5,float,Attain grade 5:Ages 15-19:Urban
325,aRural_5,float,Attain grade 5:Ages 15-19:Rural
326,aMale_5,float,Attain grade 5:Ages 15-19:Male
327,aFemale_5,float,Attain grade 5:Ages 15-19:Female
328,aMalUrb_5,float,Attain grade 5:Ages 15-19:Male Urban
329,aMalRur_5,float,Attain grade 5:Ages 15-19:Male Rural
330,aFemUrb_5,float,Attain grade 5:Ages 15-19:Female Urban
331,aFemRur_5,float,Attain grade 5:Ages 15-19:Female Rural
332,aQuint1_5,float,Attain grade 5:Ages 15-19:Poorest quintile
333,aQuint2_5,float,Attain grade 5:Ages 15-19:Quintile 2
334,aQuint3_5,float,Attain grade 5:Ages 15-19:Quintile 3
335,aQuint4_5,float,Attain grade 5:Ages 15-19:Quintile 4
336,aQuint5_5,float,Attain grade 5:Ages 15-19:Richest quintile
337,aQuint1M_5,float,Attain grade 5:Ages 15-19:Poorest quintile Male
338,aQuint2M_5,float,Attain grade 5:Ages 15-19:Quintile 2 Male
339,aQuint3M_5,float,Attain grade 5:Ages 15-19:Quintile 3 Male
340,aQuint4M_5,float,Attain grade 5:Ages 15-19:Quintile 4 Male
341,aQuint5M_5,float,Attain grade 5:Ages 15-19:Richest quintile Male
342,aQuint1F_5,float,Attain grade 5:Ages 15-19:Poorest quintile Female
343,aQuint2F_5,float,Attain grade 5:Ages 15-19:Quintile 2 Female
344,aQuint3F_5,float,Attain grade 5:Ages 15-19:Quintile 3 Female
345,aQuint4F_5,float,Attain grade 5:Ages 15-19:Quintile 4 Female
346,aQuint5F_5,float,Attain grade 5:Ages 15-19:Richest quintile Female
347,aQuint12_5,float,Attain grade 5:Ages 15-19:Quintiles 1&2
348,aQuint34_5,float,Attain grade 5:Ages 15-19:Quintiles 3&4
349,aQuint12M_5,float,Attain grade 5:Ages 15-19:Quintiles 1&2 Male
350,aQuint34M_5,float,Attain grade 5:Ages 15-19:Quintiles 3&4 Male
351,aQuint12F_5,float,Attain grade 5:Ages 15-19:Quintiles 1&2 Female
352,aQuint34F_5,float,Attain grade 5:Ages 15-19:Quintiles 3&4 Female
353,aQuint1x_5,float,Attain grade 5:Ages 15-19:Poorest quintile
354,aQuint2x_5,float,Attain grade 5:Ages 15-19:Quintile 2
355,aQuint3x_5,float,Attain grade 5:Ages 15-19:Quintile 3
356,aQuint4x_5,float,Attain grade 5:Ages 15-19:Quintile 4
357,aQuint5x_5,float,Attain grade 5:Ages 15-19:Richest quintile
358,aQuint1Mx_5,float,Attain grade 5:Ages 15-19:Poorest quintile Male
359,aQuint2Mx_5,float,Attain grade 5:Ages 15-19:Quintile 2 Male
360,aQuint3Mx_5,float,Attain grade 5:Ages 15-19:Quintile 3 Male
361,aQuint4Mx_5,float,Attain grade 5:Ages 15-19:Quintile 4 Male
